"method","url"
"igraph_automorphism_group","https://igraph.org/c/html/latest/igraph-Isomorphism.html#igraph_automorphism_group"
"igraph_automorphism_group_bliss","https://igraph.org/c/html/latest/igraph-Isomorphism.html#igraph_automorphism_group_bliss"
"igraph_average_local_efficiency","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_average_local_efficiency"
"igraph_average_path_length","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_average_path_length"
"igraph_avg_nearest_neighbor_degree","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_avg_nearest_neighbor_degree"
"igraph_barabasi_aging_game","https://igraph.org/c/html/latest/igraph-Games.html#igraph_barabasi_aging_game"
"igraph_barabasi_game","https://igraph.org/c/html/latest/igraph-Games.html#igraph_barabasi_game"
"igraph_beta_weighted_gabriel_graph","https://igraph.org/c/html/latest/igraph-Spatial.html#igraph_beta_weighted_gabriel_graph"
"igraph_betweenness","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_betweenness"
"igraph_betweenness_cutoff","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_betweenness_cutoff"
"igraph_betweenness_subset","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_betweenness_subset"
"igraph_bfs","https://igraph.org/c/html/latest/igraph-Visitors.html#igraph_bfs"
"igraph_bfshandler_t","https://igraph.org/c/html/latest/igraph-Visitors.html#igraph_bfshandler_t"
"igraph_bfs_simple","https://igraph.org/c/html/latest/igraph-Visitors.html#igraph_bfs_simple"
"igraph_biadjacency","https://igraph.org/c/html/latest/igraph-Bipartite.html#igraph_biadjacency"
"igraph_bibcoupling","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_bibcoupling"
"igraph_biconnected_components","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_biconnected_components"
"igraph_bipartite_game_gnm","https://igraph.org/c/html/latest/igraph-Bipartite.html#igraph_bipartite_game_gnm"
"igraph_bipartite_game_gnp","https://igraph.org/c/html/latest/igraph-Bipartite.html#igraph_bipartite_game_gnp"
"igraph_bipartite_iea_game","https://igraph.org/c/html/latest/igraph-Bipartite.html#igraph_bipartite_iea_game"
"igraph_bipartite_projection","https://igraph.org/c/html/latest/igraph-Bipartite.html#igraph_bipartite_projection"
"igraph_bipartite_projection_size","https://igraph.org/c/html/latest/igraph-Bipartite.html#igraph_bipartite_projection_size"
"igraph_bitset_and","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_bitset_and"
"igraph_bitset_capacity","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_bitset_capacity"
"igraph_bitset_countl_one","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_bitset_countl_one"
"igraph_bitset_countl_zero","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_bitset_countl_zero"
"igraph_bitset_countr_one","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_bitset_countr_one"
"igraph_bitset_countr_zero","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_bitset_countr_zero"
"igraph_bitset_destroy","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_bitset_destroy"
"igraph_bitset_fill","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_bitset_fill"
"igraph_bitset_init","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_bitset_init"
"igraph_bitset_init_copy","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_bitset_init_copy"
"igraph_bitset_is_all_one","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_bitset_is_all_one"
"igraph_bitset_is_all_zero","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_bitset_is_all_zero"
"igraph_bitset_is_any_one","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_bitset_is_any_one"
"igraph_bitset_is_any_zero","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_bitset_is_any_zero"
"igraph_bitset_not","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_bitset_not"
"igraph_bitset_null","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_bitset_null"
"igraph_bitset_or","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_bitset_or"
"igraph_bitset_popcount","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_bitset_popcount"
"igraph_bitset_reserve","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_bitset_reserve"
"igraph_bitset_resize","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_bitset_resize"
"igraph_bitset_size","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_bitset_size"
"igraph_bitset_update","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_bitset_update"
"igraph_bitset_xor","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_bitset_xor"
"IGRAPH_BIT_CLEAR","https://igraph.org/c/html/latest/igraph-Data-structures.html#IGRAPH_BIT_CLEAR"
"IGRAPH_BIT_MASK","https://igraph.org/c/html/latest/igraph-Data-structures.html#IGRAPH_BIT_MASK"
"IGRAPH_BIT_NSLOTS","https://igraph.org/c/html/latest/igraph-Data-structures.html#IGRAPH_BIT_NSLOTS"
"IGRAPH_BIT_SET","https://igraph.org/c/html/latest/igraph-Data-structures.html#IGRAPH_BIT_SET"
"IGRAPH_BIT_SLOT","https://igraph.org/c/html/latest/igraph-Data-structures.html#IGRAPH_BIT_SLOT"
"IGRAPH_BIT_TEST","https://igraph.org/c/html/latest/igraph-Data-structures.html#IGRAPH_BIT_TEST"
"igraph_blas_ddot","https://igraph.org/c/html/latest/igraph-Linalg.html#igraph_blas_ddot"
"igraph_blas_dgemm","https://igraph.org/c/html/latest/igraph-Linalg.html#igraph_blas_dgemm"
"igraph_blas_dgemv","https://igraph.org/c/html/latest/igraph-Linalg.html#igraph_blas_dgemv"
"igraph_blas_dgemv_array","https://igraph.org/c/html/latest/igraph-Linalg.html#igraph_blas_dgemv_array"
"igraph_blas_dnrm2","https://igraph.org/c/html/latest/igraph-Linalg.html#igraph_blas_dnrm2"
"igraph_bliss_info_t","https://igraph.org/c/html/latest/igraph-Isomorphism.html#igraph_bliss_info_t"
"igraph_bliss_sh_t","https://igraph.org/c/html/latest/igraph-Isomorphism.html#igraph_bliss_sh_t"
"igraph_bond_percolation","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_bond_percolation"
"igraph_bridges","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_bridges"
"igraph_callaway_traits_game","https://igraph.org/c/html/latest/igraph-Games.html#igraph_callaway_traits_game"
"igraph_calloc","https://igraph.org/c/html/latest/igraph-Memory.html#igraph_calloc"
"igraph_canonical_permutation","https://igraph.org/c/html/latest/igraph-Isomorphism.html#igraph_canonical_permutation"
"igraph_canonical_permutation_bliss","https://igraph.org/c/html/latest/igraph-Isomorphism.html#igraph_canonical_permutation_bliss"
"igraph_cattribute_EAB","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_EAB"
"igraph_cattribute_EABV","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_EABV"
"igraph_cattribute_EAB_set","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_EAB_set"
"igraph_cattribute_EAB_setv","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_EAB_setv"
"igraph_cattribute_EAN","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_EAN"
"igraph_cattribute_EANV","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_EANV"
"igraph_cattribute_EAN_set","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_EAN_set"
"igraph_cattribute_EAN_setv","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_EAN_setv"
"igraph_cattribute_EAS","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_EAS"
"igraph_cattribute_EASV","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_EASV"
"igraph_cattribute_EAS_set","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_EAS_set"
"igraph_cattribute_EAS_setv","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_EAS_setv"
"igraph_cattribute_GAB","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_GAB"
"igraph_cattribute_GAB_set","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_GAB_set"
"igraph_cattribute_GAN","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_GAN"
"igraph_cattribute_GAN_set","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_GAN_set"
"igraph_cattribute_GAS","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_GAS"
"igraph_cattribute_GAS_set","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_GAS_set"
"igraph_cattribute_has_attr","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_has_attr"
"igraph_cattribute_list","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_list"
"igraph_cattribute_remove_all","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_remove_all"
